Order ID	Order Date	Region	Category	Segment	Sales	Profit	Quantity
1001	2026-01-10	East	Technology	Consumer	500	100	2
1002	2026-01-15	West	Furniture	Corporate	700	150	3
1003	2026-02-05	South	Office Supplies	Home Office	300	50	5
1004	2026-02-20	North	Technology	Consumer	900	250	4
1005	2026-03-10	East	Furniture	Consumer	600	120	2
1006	2026-03-15	West	Office Supplies	Corporate	450	80	6
1007	2026-04-05	South	Technology	Consumer	1200	300	5
1008	2026-04-20	North	Furniture	Home Office	800	180	4
1009	2026-05-10	East	Office Supplies	Corporate	550	90	7
1010	2026-05-25	West	Technology	Consumer	1500	400	6
1011	2026-06-12	South	Furniture	Corporate	950	200	3
1012	2026-06-28	North	Office Supplies	Home Office	400	70	5
